P05100	3MG1_ECOLI	947137	NP_418005.1; WP_000438957.1	31615689; 808706555; 446361102; 808719688; 808732373; 808715275; 39654450; 802136853; 808724057; 991973373; 827618701; 808702181; 991978872; 808736810; 85676496; 23200339; 466687; 112785; 731472469; 827623525; 808710907; 1789971; 16131420	1LMZ:A; 1NKU:A; 1P7M:A	GO:0008725; GO:0046872; GO:0006284; GO:0006307	UniRef100_P05100	UniRef90_P05100	UniRef50_P05100	UPI0000124EE4	A24604	83333			3536912; 3520491; 8041620; 9278503; 16738553; 9298644; 12161745; 12654914; 13129925	J02606; X03845; U00039; U00096; AP009048	AAA24658.1; CAA27472.1; AAB18526.1; AAC76573.1; BAE77746.1				15690043; 24561554
P04395	3MG2_ECOLI	947371	NP_416572.1; WP_000288420.1	731470996; 808722666; 197725151; 197725172; 808709524; 2914354; 197725186; 197725141; 802135517; 808705162; 197725170; 198443246; 306992063; 197725181; 1736778; 197725187; 827622328; 197725135; 198443247; 197725153; 197725188; 197725179; 197725163; 197725134; 991977476; 197725143; 306992055; 197725171; 197725152; 7546453; 197725136; 197725180; 16130008; 49258495; 197725162; 808735401; 808730983; 991971975; 197725142; 49258496; 2914353; 1788383; 197725144; 112786; 808713884; 306992060; 446210565; 197725173; 827616352; 198443244; 197725133; 197725164; 197725189; 197725178; 808718295; 808700787; 198443245; 7546452; 197725165; 197725154	1DIZ:A; 1DIZ:B; 1MPG:A; 1MPG:B; 1PVS:A; 1PVS:B; 3CVS:A; 3CVS:B; 3CVS:C; 3CVS:D; 3CVT:A; 3CVT:B; 3CVT:C; 3CVT:D; 3CW7:A; 3CW7:B; 3CW7:C; 3CW7:D; 3CWA:A; 3CWA:B; 3CWA:C; 3CWA:D; 3CWS:A; 3CWS:B; 3CWS:C; 3CWS:D; 3CWT:A; 3CWT:B; 3CWT:C; 3CWT:D; 3CWU:A; 3CWU:B; 3CWU:C; 3CWU:D; 3D4V:A; 3D4V:B; 3D4V:C; 3D4V:D; 3OGD:A; 3OH6:A; 3OH9:A	GO:0005737; GO:0032131; GO:0003905; GO:0008725; GO:0043916; GO:0006284; GO:0006285; GO:0006307; GO:0006974; GO:0006281	UniRef100_P04395	UniRef90_P04395	UniRef50_P04395	UPI0000124EE5	A00904	83333			6094528; 9097040; 9278503; 16738553; 6389535; 3529081; 8706135; 8706136	K02498; U00096; AP009048; M13827	AAA23430.1; AAC75129.1; BAA15926.1; -				16226494; 20843803; 10675345; 12009927; 18682218; 18686953; 15690043; 16606699; 6287922
P30871	3PASE_ECOLI	947554	NP_417526.1; WP_000046281.1	827619121; 910751142; 991972902; 827623106; 808714810; 808719220; 808706087; 1789434; 445968426; 802136386; 808710443; 808701713; 401557; 808723590; 910751143; 85675855; 808736338; 808731907; 991978402; 16130950; 731471965	5A60:A; 5A61:A	GO:0050355; GO:0046872	UniRef100_P30871	UniRef90_P30871	UniRef50_P30871	UPI000003EB77	S37754	83333			8412694; 9278503; 16738553; 22984449	Z21844; U00096; AP009048	CAA79891.1; AAC76090.1; BAE77105.1				26221030; 15690043; 16606699
P76491	5DNU_ECOLI	946771	NP_416794.1; WP_000813859.1	991977688; 808731203; 808705383; 20140532; 808718514; 169404565; 827622513; 146387701; 991972190; 16130226; 169404564; 808722886; 808709744; 802135711; 169404566; 446736603; 1788628; 146387702; 169404563; 827619715; 731471227; 808701009; 808714105; 85675347; 808735623	2PAQ:A; 2PAQ:B; 2PAR:A; 2PAR:B; 2PAU:A; 2PAU:B	GO:0005737; GO:0002953; GO:0050897; GO:0042802; GO:0000166; GO:0006226; GO:0010139	UniRef100_P76491	UniRef90_P76491	UniRef50_P76491	UPI000013ADE7	A65001	83333			9278503; 16738553; 15489502; 17827303; 18353368	U00096; AP009048	AAC75351.1; BAE76684.1				16606699
P0AC28	5FCL_ECOLI	945167	NP_417387.3	446543719; 218331033; 81175159; 49176282; 85675723; 882441; 731471827; 1789278		GO:0005737; GO:0030272; GO:0005524; GO:0022611; GO:0009396; GO:0035999	UniRef100_P0AC28	UniRef90_P0AC28	UniRef50_P0AC28	UPI000003EB26	A21894	83333			2579060; 9278503; 16738553; 18519731; 20952389; 21036909	M12965; U28377; U00096; AP009048	AAA24651.1; AAA69079.1; AAC75949.1; BAE76976.1				15690043; 16606699
P00350	6PGD_ECOLI	946554	NP_416533.1; WP_000043484.1	827622296; 808735363; 147487; 16129970; 827616389; 146932; 146936; 808722629; 146240; 146234; 257097221; 808709488; 1788341; 257097133; 146942; 731470957; 415625; 146934; 146236; 146232; 146244; 808718258; 808730946; 991977438; 445965629; 257097132; 808700750; 991971937; 257097222; 808705125; 1736717; 808713847; 446840516; 257097135; 802135480; 257097134; 2506087	2ZYA:A; 2ZYA:B; 2ZYD:A; 2ZYD:B; 3FWN:A; 3FWN:B	GO:0005829; GO:0097216; GO:0042802; GO:0050661; GO:0004616; GO:0042803; GO:0019521; GO:0006098; GO:0009051	UniRef100_P00350	UniRef90_P00350	UniRef50_P00350	UPI0000124F6D	D64968; I62463; I62465	83333			6329905; 2050640; 1938920; 9097040; 9278503; 16738553; 2464736; 3275621; 7677991; 9298644; 19686854	K02072; M63821; M64326; M64327; M64328; M64329; M64330; M64331; U00096; AP009048; M23181; M18956; M18957; M18960; AF125322	AAA23918.1; AAA24488.1; AAA24204.1; AAA24205.1; AAA24206.1; AAA24207.1; AAA24208.1; AAA24209.1; AAC75090.1; BAA15869.1; AAA23924.1; AAA23919.1; AAA23920.1; AAA23922.1; AAC27540.1				26211962; 16606699; 16858726; 24561554
P52697	6PGL_ECOLI	86863277; 86945650; 946398	NP_415288.1; WP_000815435.1	808699531; 16128735; 808717058; 1786983; 802134322; 731473723; 808729749; 991970736; 808712648; 827617398; 808734160; 808721428; 2506625; 446738179; 808708282; 991976078; 808703903; 827621290; 39654863; 4062334	1RI6:A	GO:0005829; GO:0017057; GO:0006006; GO:0006098; GO:0009051	UniRef100_P52697	UniRef90_P52697	UniRef50_P52697	UPI000013A34B	G64812	83333			7665460; 8905232; 9278503; 16738553; 15576773; 18723842	U27192; U00096; AP009048	-; AAC73854.1; BAA35431.1				38982839; 16606699; 4552019
P76464	A2MGH_ECOLI			1248281093; 20455523		GO:0004866	UniRef100_P76464	UniRef90_P76464	UniRef50_Q8XE35	UPI0000697592		83333			9205837; 9278503; 16738553	U00096; AP009048	-; -				15690043; 16606699; 24561554
P76578	A2MG_ECOLI	947302	NP_417015.1; WP_000736312.1	808731419; 808718731; 829581803; 808709959; 991972412; 85675437; 808723103; 20140543; 808714321; 829581804; 991977909; 906849181; 731471455; 1788868; 808705599; 446658966; 808701225; 887492420; 16130445; 802135905; 808735848; 939732910; 829581802; 829581799; 939732034	4RTD:A; 4ZIQ:A; 4ZIU:A; 4ZJG:A; 4ZJH:A; 5A42:A	GO:0005615; GO:0005886; GO:0004866; GO:0042803; GO:0006952	UniRef100_P76578	UniRef90_P76578	UniRef50_P76578	UPI000003EB33	G65028	83333			9278503; 16738553; 15186489; 18697741; 21210718; 26143919; 26100869	U00096; AP009048	AAC75573.1; BAE76729.1				15690043; 16606699
P46854	AAAT_ECOLI	75202285; 947943	NP_417898.1; WP_001295206.1	808702070; 1176283; 808732263; 808736700; 731472353; 85676602; 808719577; 481023559; 808715165; 808710797; 16131313; 808706444; 991978764; 606376; 1789849; 808723946; 991973263		GO:0016747; GO:0103045; GO:0050176; GO:0008080	UniRef100_P46854	UniRef90_P46854	UniRef50_P46854	UPI000013B25F	D65140	83333			9278503; 16738553; 25002546; 27941785	U18997; U00096; AP009048	AAA58239.1; AAC76466.1; BAE77852.1				16606699
P46482	AAEA_ECOLI	75206091; 947748	NP_417708.1; WP_000854021.1	808701877; 802136562; 808710606; 1176207; 808736509; 808723754; 991973073; 808714974; 16131131; 991978574; 85676034; 808732071; 606180; 808706252; 827618966; 827623261; 1789637; 808719384; 446776765; 731472149		GO:0005886; GO:0022857; GO:0046942; GO:0055085	UniRef100_P46482	UniRef90_P46482	UniRef50_P46482	UPI000013B1E3	C65116	83333			9278503; 16738553; 15489430	U18997; U00096; AP009048	AAA58043.1; AAC76273.1; BAE77284.1				15690043; 16606699
P46481	AAEB_ECOLI	947747	NP_417707.1; WP_000510991.1	1789636; 85676033; 606179; 1176206; 16131130; 446433136		GO:0005886; GO:0022857; GO:0046942	UniRef100_P46481	UniRef90_P46481	UniRef50_P46481	UPI000013B1E2	B65116	83333			9278503; 16738553; 15489430; 15919996	U18997; U00096; AP009048	AAA58042.1; AAC76272.1; BAE77283.1				16606699
P67662	AAER_ECOLI	86862368; 93778742; 947760	NP_417710.1; WP_000440317.1	827623263; 54042784; 606182; 808719385; 991973074; 808701878; 16131133; 827618964; 731472151; 808723755; 808732072; 808706253; 446362462; 808736510; 85676036; 802136564; 991978575; 808710607; 808714975; 1789639		GO:0003700; GO:0000976; GO:0006351; GO:0006352; GO:0045893; GO:0006355	UniRef100_P67662	UniRef90_P67662	UniRef50_P67662	UPI000013B1E5	E65116	83333			9278503; 16738553; 15489430; 34220787	U18997; U00096; AP009048	AAA58045.1; AAC76275.1; BAE77286.1				16606699; 20494990; 10734204; 12011002; 15556475
